,ds,Valor
199,2020-11-17,790.160748
200,2020-11-18,787.745733
201,2020-11-19,788.056575
202,2020-11-20,787.068142
203,2020-11-21,787.077894
204,2020-11-22,776.030134
205,2020-11-23,774.754701
206,2020-11-24,774.637732
207,2020-11-25,781.459935
208,2020-11-26,769.800689
209,2020-11-27,780.75919
210,2020-11-28,780.808182
211,2020-11-29,781.055855
212,2020-11-30,781.24367
213,2020-12-01,790.528154
214,2020-12-02,793.178822
215,2020-12-03,795.826193
216,2020-12-04,792.320097
217,2020-12-05,792.320097
218,2020-12-06,792.622027
219,2020-12-07,791.498274
220,2020-12-08,791.218582
221,2020-12-09,791.554283
222,2020-12-10,800.710811
223,2020-12-11,798.746169
224,2020-12-12,798.752747
225,2020-12-13,800.350919
226,2020-12-14,798.356767
227,2020-12-15,794.998371
228,2020-12-16,798.025918
229,2020-12-17,802.621195
230,2020-12-18,803.167255
231,2020-12-19,803.167255
232,2020-12-20,801.447086
233,2020-12-21,801.032338
234,2020-12-22,797.110675
235,2020-12-23,798.815581
236,2020-12-24,798.416143
237,2020-12-25,798.930749
238,2020-12-26,798.930749
239,2020-12-27,798.762129
240,2020-12-28,800.040306
241,2020-12-29,802.984744
242,2020-12-30,805.433546
243,2020-12-31,798.958286
244,2021-01-01,796.493364
245,2021-01-02,793.823043
246,2021-01-03,800.305051
247,2021-01-04,696.071643
248,2021-01-05,806.074541
249,2021-01-06,808.913035
250,2021-01-07,797.21119
251,2021-01-08,798.866398
252,2021-01-09,799.209238
253,2021-01-10,798.729154
254,2021-01-11,799.043185
255,2021-01-12,802.523527
256,2021-01-13,799.308868
257,2021-01-14,798.999598
258,2021-01-15,793.953414
259,2021-01-16,794.229574
260,2021-01-17,793.47848
261,2021-01-18,794.089805
262,2021-01-19,796.084357
263,2021-01-20,794.695124
264,2021-01-21,798.489858
265,2021-01-22,799.548083
266,2021-01-23,799.548083
267,2021-01-24,799.112546
268,2021-01-25,797.51095
269,2021-01-26,796.704889
270,2021-01-27,793.957591
271,2021-01-28,794.800464
272,2021-01-29,795.830118
273,2021-01-30,795.817029
274,2021-01-31,795.280532
275,2021-02-01,791.527241
276,2021-02-02,790.345688
277,2021-02-03,780.811333
278,2021-02-04,781.756637
279,2021-02-05,787.260829
280,2021-02-06,787.260829
281,2021-02-07,786.917883
282,2021-02-08,787.39229
283,2021-02-09,791.851223
284,2021-02-10,791.830314
285,2021-02-11,792.15306
286,2021-02-12,791.342771
287,2021-02-13,791.365599
288,2021-02-14,791.605849
289,2021-02-15,791.919345
290,2021-02-16,790.205888
291,2021-02-17,786.389809
292,2021-02-18,788.885256
293,2021-02-19,790.644497
294,2021-02-20,790.667348
295,2021-02-21,791.064923
296,2021-02-22,792.592914
297,2021-02-23,787.269437
298,2021-02-24,790.565026
299,2021-02-25,791.677499
300,2021-02-26,784.471444
301,2021-02-27,784.472817
302,2021-02-28,767.954242
303,2021-03-01,759.073795
304,2021-03-02,760.820687
305,2021-03-03,753.348751
306,2021-03-04,750.149869
307,2021-03-05,743.843472
308,2021-03-06,743.843472
309,2021-03-07,744.071985
310,2021-03-08,732.560022
311,2021-03-09,735.916991
312,2021-03-10,739.332669
313,2021-03-11,742.84484
314,2021-03-12,741.013633
315,2021-03-13,741.003447
316,2021-03-14,740.696621
317,2021-03-15,739.239331
318,2021-03-16,738.295559
319,2021-03-17,736.071515
320,2021-03-18,735.29741
321,2021-03-19,737.099005
322,2021-03-20,737.099005
323,2021-03-21,733.279809
324,2021-03-22,747.255724
325,2021-03-23,738.089905
326,2021-03-24,736.466618
327,2021-03-25,737.225411
328,2021-03-26,738.518361
329,2021-03-27,738.518361
330,2021-03-28,738.307654
331,2021-03-29,736.85494
332,2021-03-30,733.704296
333,2021-03-31,738.709056
334,2021-04-01,742.1403
335,2021-04-02,740.887965
336,2021-04-03,740.812385
337,2021-04-04,739.528188
338,2021-04-05,741.671118
339,2021-04-06,747.888164
340,2021-04-07,745.842669
341,2021-04-08,748.414346
342,2021-04-09,747.545177
343,2021-04-10,747.557739
344,2021-04-11,747.417546
345,2021-04-12,748.29625
346,2021-04-13,758.073323
347,2021-04-14,771.326062
348,2021-04-15,775.114608
349,2021-04-16,779.944326
350,2021-04-17,779.9183
351,2021-04-18,779.237968
352,2021-04-19,784.30012
353,2021-04-20,791.545679
354,2021-04-21,792.650138
355,2021-04-22,788.701277
356,2021-04-23,794.162474
357,2021-04-24,794.073848
358,2021-04-25,793.742368
359,2021-04-26,793.114485
360,2021-04-27,793.459468
361,2021-04-28,795.435689
362,2021-04-29,793.954249
363,2021-04-30,787.254426
364,2021-05-01,787.283902
365,2021-05-02,786.963887
366,2021-05-03,789.056944
367,2021-05-04,786.159275
368,2021-05-05,785.536085
369,2021-05-06,788.922568
370,2021-05-07,795.613373
371,2021-05-08,795.613373
372,2021-05-09,795.899326
373,2021-05-10,794.25591
374,2021-05-11,794.748814
375,2021-05-12,790.013392
376,2021-05-13,790.251952
377,2021-05-14,794.65162
378,2021-05-15,794.748137
379,2021-05-16,794.756955
380,2021-05-17,794.87421
381,2021-05-18,799.467149
382,2021-05-19,796.100647
383,2021-05-20,792.860963
384,2021-05-21,789.872995
385,2021-05-22,789.872995
386,2021-05-23,792.958879
387,2021-05-24,785.827116
388,2021-05-25,788.048644
389,2021-05-26,784.136119
390,2021-05-27,783.016754
391,2021-05-28,783.029566
392,2021-05-29,783.031189
393,2021-05-30,783.098593
394,2021-05-31,785.17884
395,2021-06-01,784.299288
396,2021-06-02,783.978288
397,2021-06-03,778.79847
398,2021-06-04,781.138071
399,2021-06-05,781.092548
400,2021-06-06,780.894612
401,2021-06-07,782.758488
402,2021-06-08,781.475667
403,2021-06-09,781.817024
404,2021-06-10,781.497261
405,2021-06-11,777.394624
406,2021-06-12,777.394624
407,2021-06-13,777.441085
408,2021-06-14,778.200056
409,2021-06-15,778.513231
410,2021-06-16,770.2716
411,2021-06-17,764.782488
412,2021-06-18,761.636669
413,2021-06-19,761.691294
414,2021-06-20,762.19524
415,2021-06-21,764.866155
416,2021-06-22,775.743298
417,2021-06-23,773.278156
418,2021-06-24,773.200728
419,2021-06-25,773.549986
420,2021-06-26,773.45927
421,2021-06-27,773.65718
422,2021-06-28,771.778292
423,2021-06-29,769.049946
424,2021-06-30,766.012264
425,2021-07-01,764.200074
426,2021-07-02,765.282832
427,2021-07-03,765.282832
428,2021-07-04,764.894499
429,2021-07-05,765.243344
430,2021-07-06,761.291913
431,2021-07-07,759.288551
432,2021-07-08,762.324122
433,2021-07-09,763.886604
434,2021-07-10,763.838337
435,2021-07-11,763.743426
436,2021-07-12,762.873138
437,2021-07-13,757.327542
438,2021-07-14,761.056095
439,2021-07-15,759.626738
440,2021-07-16,759.138037
441,2021-07-17,759.057693
442,2021-07-18,758.821431
443,2021-07-19,756.57132
444,2021-07-20,754.588288
445,2021-07-21,754.608625
446,2021-07-22,753.329036
447,2021-07-23,753.177025
448,2021-07-24,752.696267
449,2021-07-25,753.142378
450,2021-07-26,753.911366
451,2021-07-27,754.988837
