,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Ano novo,Ano novo_lower,Ano novo_upper,Carnaval,Carnaval_lower,Carnaval_upper,Carnaval (Day off),Carnaval (Day off)_lower,Carnaval (Day off)_upper,Dia Internacional da Mulher,Dia Internacional da Mulher_lower,Dia Internacional da Mulher_upper,Dia Internacional da Mulher (Day off),Dia Internacional da Mulher (Day off)_lower,Dia Internacional da Mulher (Day off)_upper,Dia Mundial do Trabalho,Dia Mundial do Trabalho_lower,Dia Mundial do Trabalho_upper,Dia da Independência,Dia da Independência_lower,Dia da Independência_upper,Dia da Independência (Day off),Dia da Independência (Day off)_lower,Dia da Independência (Day off)_upper,Dia da Libertação da África Austral,Dia da Libertação da África Austral_lower,Dia da Libertação da África Austral_upper,Dia da Libertação da África Austral (Day off),Dia da Libertação da África Austral (Day off)_lower,Dia da Libertação da África Austral (Day off)_upper,Dia da Paz e Reconciliação,Dia da Paz e Reconciliação_lower,Dia da Paz e Reconciliação_upper,Dia da Paz e Reconciliação (Day off),Dia da Paz e Reconciliação (Day off)_lower,Dia da Paz e Reconciliação (Day off)_upper,Dia de Natal e da Família,Dia de Natal e da Família_lower,Dia de Natal e da Família_upper,Dia do Herói Nacional,Dia do Herói Nacional_lower,Dia do Herói Nacional_upper,Dia do Herói Nacional (Day off),Dia do Herói Nacional (Day off)_lower,Dia do Herói Nacional (Day off)_upper,Dia do Início da Luta Armada,Dia do Início da Luta Armada_lower,Dia do Início da Luta Armada_upper,Dia do Início da Luta Armada (Day off),Dia do Início da Luta Armada (Day off)_lower,Dia do Início da Luta Armada (Day off)_upper,Dia dos Finados,Dia dos Finados_lower,Dia dos Finados_upper,Dia dos Finados (Day off),Dia dos Finados (Day off)_lower,Dia dos Finados (Day off)_upper,Sexta-feira Santa,Sexta-feira Santa_lower,Sexta-feira Santa_upper,holidays,holidays_lower,holidays_upper,monthly,monthly_lower,monthly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,school_holiday,school_holiday_lower,school_holiday_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
10,2020-09-13,7.434654383483692,4.670980967792738,14.471362124450403,7.434654383483692,7.434654383483692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004933904268054012,-0.004933904268054012,-0.004933904268054012,0.2826678030882685,0.2826678030882685,0.2826678030882685,0.0,0.0,0.0,0.17079129839539547,0.17079129839539547,0.17079129839539547,0.11681040896092708,0.11681040896092708,0.11681040896092708,0.0,0.0,0.0,9.536191804783593
11,2020-09-23,7.403342412399945,2.4980373348327833,12.174505133297993,7.403342412399945,7.403342412399945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05245961229896474,0.05245961229896474,0.05245961229896474,-0.022712465101392937,-0.022712465101392937,-0.022712465101392937,0.0,0.0,0.0,-0.038848752297982764,-0.038848752297982764,-0.038848752297982764,-0.03632332510237492,-0.03632332510237492,-0.03632332510237492,0.0,0.0,0.0,7.235194256224649
12,2020-09-28,7.387686426858071,3.1033953842045223,12.96972322231618,7.387686426858071,7.387686426858071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19161248003575593,0.19161248003575593,0.19161248003575593,0.10190436850785337,0.10190436850785337,0.10190436850785337,0.0,0.0,0.0,0.006942281310926664,0.006942281310926664,0.006942281310926664,-0.09665039283882923,-0.09665039283882923,-0.09665039283882923,0.0,0.0,0.0,8.140523946921082
13,2020-10-01,7.378292835532947,2.4891169445058416,11.974884134175895,7.378292835532947,7.378292835532947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20039760788661626,0.20039760788661626,0.20039760788661626,0.0027416856384099367,0.0027416856384099367,0.0027416856384099367,0.0,0.0,0.0,-0.08723339999990135,-0.08723339999990135,-0.08723339999990135,-0.110422522248305,-0.110422522248305,-0.110422522248305,0.0,0.0,0.0,7.39852179503611
14,2020-10-03,7.372030441316197,3.6003397556730556,13.427538189763197,7.372030441316197,7.372030441316197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11696411932641647,0.11696411932641647,0.11696411932641647,0.12999003147376442,0.12999003147376442,0.12999003147376442,0.0,0.0,0.0,0.12177374593644613,0.12177374593644613,0.12177374593644613,-0.10874783378909815,-0.10874783378909815,-0.10874783378909815,0.0,0.0,0.0,8.330320910408437
15,2020-10-08,7.356374455774323,-0.3255155052770157,10.10487118716279,7.356374455774323,7.356374455774323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19042063851064134,-0.19042063851064134,-0.19042063851064134,-0.3496295711402329,-0.3496295711402329,-0.3496295711402329,0.0,0.0,0.0,-0.08723339999999818,-0.08723339999999818,-0.08723339999999818,-0.0719755326295934,-0.0719755326295934,-0.0719755326295934,0.0,0.0,0.0,4.784368409654983
16,2020-10-12,7.343849667340824,2.2340346677599836,11.739396204339135,7.343849667340824,7.343849667340824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020451809831089244,-0.020451809831089244,-0.020451809831089244,-0.03850326926820301,-0.03850326926820301,-0.03850326926820301,0.0,0.0,0.0,0.006942281310733125,0.006942281310733125,0.006942281310733125,-0.02499374074784689,-0.02499374074784689,-0.02499374074784689,0.0,0.0,0.0,7.061087446133997
17,2020-10-16,7.331324878907325,3.597848302834949,12.61249998746014,7.331324878907325,7.331324878907325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09397567500898502,0.09397567500898502,0.09397567500898502,0.14729686927390767,0.14729686927390767,0.14729686927390767,0.0,0.0,0.0,0.038007613544781174,0.038007613544781174,0.038007613544781174,0.015313580720141454,0.015313580720141454,0.015313580720141454,0.0,0.0,0.0,8.411206081200284
18,2020-10-26,7.300012907823577,2.8642263320365826,12.973193744228077,7.300012907823577,7.300012907823577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10577754824111398,0.10577754824111398,0.10577754824111398,0.10632811217280405,0.10632811217280405,0.10632811217280405,0.0,0.0,0.0,0.006942281310539589,0.006942281310539589,0.006942281310539589,-0.006391717378849526,-0.006391717378849526,-0.006391717378849526,0.0,0.0,0.0,8.07620949914956
19,2020-10-28,7.2937505136424825,3.3776350548336844,12.965315471581023,7.2937505136424825,7.2937505136424825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1710492268914284,0.1710492268914284,0.1710492268914284,0.10084201722936852,0.10084201722936852,0.10084201722936852,0.0,0.0,0.0,-0.03884875229801567,-0.03884875229801567,-0.03884875229801567,-0.03135845736404423,-0.03135845736404423,-0.03135845736404423,0.0,0.0,0.0,8.029267028605933
